#"INDEX","LOCATION","STATE","SEVERITY","NAME","DATE/TIME","USER","NOTES"
"562","NCC","None","Informational","Event Action created","Wed 01-Jul-2015  20:47:02.9 (GMT-06:00)","SYS","Relay Output 1 Action request sent to 127.0.0.1, Slot1"
"563","NCC","None","Informational","Event Action accepted","Wed 01-Jul-2015  20:47:02.9 (GMT-06:00)","SYS","Relay Output 1 Action request received from 127.0.0.1."
"564","Slot 1","Clearing","Cleared","Demodulator not locked","Wed 01-Jul-2015  20:47:03.0 (GMT-06:00)","SYS",""
"565","Slot 1","Clearing","Cleared","Traffic path down","Wed 01-Jul-2015  20:47:04.8 (GMT-06:00)","SYS",""
"566","Slot 1","Clearing","Cleared","10-3 BER threshold exceeded","Wed 01-Jul-2015  20:47:04.8 (GMT-06:00)","SYS",""
"567","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 01-Jul-2015  20:47:12.8 (GMT-06:00)","SYS",""
"568","Slot 1","Raising","Major","Demodulator not locked","Wed 01-Jul-2015  23:34:15.7 (GMT-06:00)","SYS",""
"569","Slot 1","Raising","Critical","Traffic path down","Wed 01-Jul-2015  23:34:15.8 (GMT-06:00)","SYS",""
"570","Slot 1","Raising","Warning","10-3 BER threshold exceeded","Wed 01-Jul-2015  23:34:15.8 (GMT-06:00)","SYS",""
"571","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 01-Jul-2015  23:34:15.8 (GMT-06:00)","SYS",""
"572","NCC","None","Informational","Event Action created","Wed 01-Jul-2015  23:34:15.8 (GMT-06:00)","SYS","Relay Output 1 Action request sent to 127.0.0.1, Slot1"
"573","NCC","None","Informational","Event Action accepted","Wed 01-Jul-2015  23:34:15.9 (GMT-06:00)","SYS","Relay Output 1 Action request received from 127.0.0.1."
"574","Slot 1","Clearing","Cleared","Demodulator not locked","Wed 01-Jul-2015  23:34:15.9 (GMT-06:00)","SYS",""
"575","Slot 1","Clearing","Cleared","10-3 BER threshold exceeded","Wed 01-Jul-2015  23:34:17.8 (GMT-06:00)","SYS",""
"576","Slot 1","Clearing","Cleared","Traffic path down","Wed 01-Jul-2015  23:34:17.8 (GMT-06:00)","SYS",""
"577","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 01-Jul-2015  23:34:26.8 (GMT-06:00)","SYS",""
"578","Slot 1","Raising","Major","Demodulator not locked","Mon 06-Jul-2015  20:10:42.8 (GMT-06:00)","SYS",""
"579","Slot 1","Raising","Critical","Traffic path down","Mon 06-Jul-2015  20:10:42.9 (GMT-06:00)","SYS",""
"580","Slot 1","Raising","Warning","10-3 BER threshold exceeded","Mon 06-Jul-2015  20:10:42.9 (GMT-06:00)","SYS",""
"581","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Mon 06-Jul-2015  20:10:42.9 (GMT-06:00)","SYS",""
"582","NCC","None","Informational","Event Action created","Mon 06-Jul-2015  20:10:42.9 (GMT-06:00)","SYS","Relay Output 1 Action request sent to 127.0.0.1, Slot1"
"583","NCC","None","Informational","Event Action accepted","Mon 06-Jul-2015  20:10:42.9 (GMT-06:00)","SYS","Relay Output 1 Action request received from 127.0.0.1."
"584","Slot 1","Clearing","Cleared","Demodulator not locked","Mon 06-Jul-2015  20:10:43.0 (GMT-06:00)","SYS",""
"585","Slot 1","Clearing","Cleared","Traffic path down","Mon 06-Jul-2015  20:10:44.9 (GMT-06:00)","SYS",""
"586","Slot 1","Clearing","Cleared","10-3 BER threshold exceeded","Mon 06-Jul-2015  20:10:44.9 (GMT-06:00)","SYS",""
"587","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Mon 06-Jul-2015  20:10:52.9 (GMT-06:00)","SYS",""
"588","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Mon 06-Jul-2015  21:28:45.9 (GMT-06:00)","SYS",""
"589","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Mon 06-Jul-2015  21:28:54.9 (GMT-06:00)","SYS",""
"590","Slot 1","Raising","Major","Demodulator not locked","Tue 07-Jul-2015  22:33:35.2 (GMT-06:00)","SYS",""
"591","Slot 1","Clearing","Cleared","Demodulator not locked","Tue 07-Jul-2015  22:33:35.4 (GMT-06:00)","SYS",""
"592","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 07-Jul-2015  22:33:35.9 (GMT-06:00)","SYS",""
"593","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 07-Jul-2015  22:33:44.9 (GMT-06:00)","SYS",""
"594","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 08-Jul-2015  22:40:37.9 (GMT-06:00)","SYS",""
"595","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 08-Jul-2015  22:40:46.9 (GMT-06:00)","SYS",""
"596","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Thu 09-Jul-2015  16:30:43.9 (GMT-06:00)","SYS",""
"597","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Thu 09-Jul-2015  16:30:52.9 (GMT-06:00)","SYS",""
"598","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 15-Jul-2015  22:41:02.9 (GMT-06:00)","SYS",""
"599","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 15-Jul-2015  22:41:11.8 (GMT-06:00)","SYS",""
"600","Slot 1","Raising","Major","Demodulator not locked","Thu 16-Jul-2015  23:54:53.3 (GMT-06:00)","SYS",""
